Team,Games,FG%,FG%_rank,FT%,FT%_rank,3P,3P_rank,PTS,PTS_rank,REB,REB_rank,AST,AST_rank,STL,STL_rank,BLK,BLK_rank,TOV,TOV_rank,rank,week
Three & D 🏀🏀,47,.407,1,.844,9,59,4.5,487,1,170,1,123,3,40,8,22,7,51,12,5.17,8
The Black Bamba,44,.447,3,.805,6,58,3,636,4,194,3,124,4,38,6,18,5,63,10,4.89,8
Ariel's Amazing Team,40,.453,5,.837,8,84,10,619,3,191,2,84,1,26,1,13,1.5,78,8,4.39,8
Floki's monsters,42,.516,12,.775,5,85,10,781,12,269,12,155,8,50,12,20,5,97,1.5,8.61,9
Otzma modi'in,45,.474,8,.817,9,68,8,638,5,237,6.5,157,9,41,9,27,9,54,12,8.39,9
Mello!,42,.459,4,.826,10,64,7,716,10,244,9,153,7,46,10,36,12,97,1.5,7.83,9
The Big Fundamental,45,.471,7,.873,12,63,6,717,11,243,8,121,3,38,7.5,17,4,73,8,7.39,9
The Burger Kings,45,.488,11,.745,2,86,11,636,4,255,11,131,6,38,7.5,24,7,78,6,7.28,9
Trust the Process,44,.486,10,.755,4,80,9,697,9,228,5,161,11,47,11,15,3,89,3,7.22,9
Agami's Team H2H kp,42,.464,5,.719,1,47,2,685,8,245,10,174,12,33,6,28,10.5,87,5,6.61,9
SenGOAT 2.0,44,.478,9,.796,8,55,3.5,680,7,237,6.5,123,4,28,4,25,8,71,9,6.56,9
Three & D 🏀🏀,44,.454,3,.752,3,91,12,679,6,216,4,129,5,31,5,22,6,75,7,5.67,9
SqueeZee's Boys,45,.428,1,.861,11,60,5,539,3,188,2,158,10,26,2.5,9,1,88,4,4.39,9
The Black Bamba,45,.448,2,.779,6,46,1,505,2,195,3,102,2,26,2.5,28,10.5,62,10,4.33,9
Ariel's Amazing Team,35,.467,6,.784,7,55,3.5,471,1,172,1,80,1,16,1,11,2,56,11,3.72,9
Mello!,37,.483,7,.796,7,58,8,639,8,233,9,165,11,43,11.5,21,9,68,7,8.61,10
Trust the Process,41,.529,12,.775,5.5,57,7,777,12,264,12,138,8,27,2.5,33,12,84,2,8.11,10
SenGOAT 2.0,44,.499,9,.824,9,46,1,694,10,235,10,144,9.5,42,10,25,10,78,3,7.94,10
Floki's monsters,38,.464,2,.775,5.5,82,11,689,9,248,11,213,12,29,5,15,5,75,4.5,7.22,10
SqueeZee's Boys,37,.495,8,.892,12,68,10,529,4,157,2,128,4.5,37,8.5,14,4,50,11,7.11,10
Otzma modi'in,37,.507,10,.771,4,55,5.5,508,3,199,6,135,7,43,11.5,16,7,75,4.5,6.5,10
The Black Bamba,40,.467,3,.807,8,47,2.5,607,6,208,7,114,3,34,7,30,11,55,10,6.39,10
Three & D 🏀🏀,39,.469,4,.729,2,99,12,703,11,196,4,144,9.5,37,8.5,13,3,90,1,6.11,10
Agami's Team H2H kp,40,.518,11,.713,1,49,4,635,7,218,8,128,4.5,28,4,16,7,68,7,5.94,10
The Burger Kings,39,.470,5,.848,11,65,9,478,2,188,3,133,6,32,6,12,2,57,9,5.89,10
The Big Fundamental,40,.451,1,.829,10,55,5.5,575,5,198,5,93,2,27,2.5,16,7,68,7,5.0,10
Ariel's Amazing Team,31,.482,6,.753,3,47,2.5,431,1,146,1,81,1,25,1,6,1,47,12,3.17,10
Mello!,44,.520,11,.769,5,100,12,849,12,268,10,189,12,31,2,36,12,95,2.5,8.72,11
The Burger Kings,46,.491,9,.814,9,79,9,641,3,279,11,152,5,48,11,33,11,71,10,8.67,11
Three & D 🏀🏀,48,.447,1,.887,12,99,11,791,11,232,4,184,11,42,8,29,5.5,80,7,7.83,11
Floki's monsters,46,.495,10,.809,8,81,10,730,7,266,9,177,10,39,6,23,2,91,4,7.33,11
Trust the Process,45,.488,7,.734,1,60,6,780,10,333,12,161,6,50,12,30,8,95,2.5,7.17,11
Otzma modi'in,47,.525,12,.737,2,57,4.5,666,5,248,7,165,7,41,7,29,5.5,54,12,6.89,11
SqueeZee's Boys,46,.455,2,.859,11,78,8,736,8,228,1.5,172,8,47,10,29,5.5,87,5,6.56,11
The Big Fundamental,41,.489,8,.848,10,55,3,689,6,243,6,119,2,35,3.5,31,9.5,84,6,6.0,11
Agami's Team H2H kp,48,.485,6,.765,4,54,2,761,9,250,8,173,9,37,5,29,5.5,101,1,5.5,11
The Black Bamba,46,.465,4,.801,7,50,1,597,1,229,3,102,1,44,9,31,9.5,60,11,5.17,11
SenGOAT 2.0,48,.456,3,.764,3,57,4.5,650,4,237,5,126,3.5,35,3.5,25,3,72,8.5,4.22,11
Ariel's Amazing Team,45,.466,5,.781,6,70,7,615,2,228,1.5,126,3.5,21,1,20,1,72,8.5,3.94,11
Mello!,49,.499,11,.850,10,81,9.5,854,11,284,11,202,11,43,8.5,41,12,99,2,9.56,12
Three & D 🏀🏀,49,.437,1,.824,9,91,12,776,7,268,8,199,10,53,11,31,8,69,10,8.44,12
Agami's Team H2H kp,45,.484,10,.775,5,53,2,829,10,281,9,212,12,65,12,35,10,104,1,7.89,12
Trust the Process,50,.481,9,.764,3,61,4,870,12,355,12,198,9,42,6.5,24,3.5,97,3,6.89,12
The Burger Kings,42,.438,2,.854,11,70,6,553,1,264,7,149,6,37,5,32,9,59,12,6.56,12
SqueeZee's Boys,45,.460,4,.872,12,81,9.5,729,5,202,2,154,7,43,8.5,18,1,83,7,6.22,12
The Big Fundamental,47,.466,5.5,.772,4,71,7,781,8,263,6,142,5,47,10,26,5.5,89,4,6.11,12
The Black Bamba,47,.444,3,.797,6,58,3,556,2,282,10,136,4,42,6.5,38,11,77,8,5.94,12
Floki's monsters,43,.508,12,.741,1,72,8,782,9,253,3,166,8,31,2,24,3.5,87,6,5.83,12
Ariel's Amazing Team,47,.476,7.5,.806,7,84,11,757,6,254,4,106,1,36,4,22,2,88,5,5.28,12
SenGOAT 2.0,46,.466,5.5,.822,8,63,5,636,4,201,1,127,2,31,2,27,7,70,9,4.83,12
Otzma modi'in,47,.476,7.5,.755,2,34,1,601,3,260,5,130,3,31,2,26,5.5,65,11,4.44,12
Floki's monsters,41,.508,12,.782,4,81,12,817,12,277,11,167,10,43,11,28,8,77,3,9.22,13
The Big Fundamental,43,.505,11,.813,7,76,9,741,10,236,8,127,4,38,9.5,33,11.5,65,10,8.89,13
The Burger Kings,45,.494,8,.819,8,66,7,552,4,266,10,161,8.5,48,12,20,3,70,8,7.61,13
Trust the Process,47,.501,9,.789,5,58,4,798,11,285,12,195,12,30,4,22,4,73,6,7.44,13
Agami's Team H2H kp,46,.472,4.5,.778,3,63,6,682,8,250,9,175,11,36,8,29,9,80,2,6.72,13
The Black Bamba,41,.502,10,.824,10,62,5,628,6,231,7,95,1,34,5.5,33,11.5,74,4,6.67,13
SenGOAT 2.0,40,.472,4.5,.847,11,47,3,657,7,220,5,161,8.5,34,5.5,27,7,73,6,6.39,13
Ariel's Amazing Team,47,.463,3,.803,6,80,10.5,694,9,203,3,103,2,27,3,24,5,67,9,5.61,13
Otzma modi'in,46,.474,6,.723,2,42,2,524,2,219,4,137,6,38,9.5,26,6,49,12,5.5,13
SqueeZee's Boys,43,.410,1,.912,12,69,8,525,3,145,1,130,5,35,7,9,1,61,11,5.44,13
Three & D 🏀🏀,44,.430,2,.822,9,80,10.5,624,5,197,2,148,7,25,2,16,2,81,1,4.5,13
Mello!,40,.488,7,.705,1,38,1,487,1,223,6,123,3,20,1,30,10,73,6,4.0,13
Otzma modi'in,49,.534,10.5,.723,2,79,9,763,9,284,12,169,8,50,11,40,12,70,9,9.17,14
Agami's Team H2H kp,46,.494,7,.809,7,64,5,851,11,261,10,188,11.5,57,12,32,10,92,2.5,8.44,14
The Big Fundamental,46,.492,6,.820,8,107,12,909,12,265,11,144,3,43,9,29,8,91,4,8.11,14
Trust the Process,44,.513,9,.837,9,56,2,760,8,244,9,181,9,41,7,28,7,82,6,7.33,14
The Burger Kings,44,.500,8,.879,12,57,3,561,3,242,8,188,11.5,44,10,20,3,76,7,7.28,14
SenGOAT 2.0,41,.534,10.5,.795,5,67,7,783,10,232,7,155,5,38,6,31,9,85,5,7.17,14
Three & D 🏀🏀,47,.469,4,.866,11,95,11,718,6,213,3,160,6,34,4.5,24,4.5,68,10,6.67,14
SqueeZee's Boys,53,.463,3,.843,10,92,10,742,7,230,5.5,187,10,42,8,19,2,102,1,6.28,14
The Black Bamba,50,.489,5,.744,3,68,8,659,4,227,4,148,4,34,4.5,36,11,74,8,5.72,14
Floki's monsters,48,.447,2,.797,6,66,6,660,5,187,2,162,7,32,3,25,6,92,2.5,4.39,14
Mello!,34,.554,12,.627,1,22,1,386,1,230,5.5,78,1,15,1,24,4.5,45,11,4.22,14
Ariel's Amazing Team,37,.428,1,.773,4,60,4,513,2,170,1,90,2,27,2,9,1,40,12,3.22,14
The Big Fundamental,42,.521,10,.797,10,72,10,706,9,200,4,163,11,38,5,12,1.5,59,10,7.83,15
